Type,Product,Started Date,Completed Date,Description,Amount,Fee,Currency,State,Balance
CARD_PAYMENT,Current,2024-01-08 21:01:58,2024-01-09 21:01:58,Shop,-13.27,0.00,EUR,COMPLETED,19.79
CARD_PAYMENT,Current,2024-01-09 20:02:00,2024-01-10 20:02:00,Shop,-15.00,0.00,EUR,COMPLETED,15.20
CARD_PAYMENT,Current,2024-01-23 09:01:39,2024-01-24 09:01:39,Discord,-9.99,0.00,EUR,COMPLETED,5.21
CARD_PAYMENT,Current,2024-02-09 21:01:03,2024-02-10 21:01:03,Texts,-4.65,0.00,EUR,COMPLETED,0.56
TOPUP,Current,2024-02-20 05:29:39,2024-02-20 05:29:39,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,20.56
TOPUP,Current,2024-03-01 03:43:20,2024-03-01 03:43:20,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,70.56
TOPUP,Current,2024-03-01 03:43:50,2024-03-01 03:43:50,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,120.56
TOPUP,Current,2024-03-01 03:44:20,2024-03-01 03:44:20,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,170.56
TOPUP,Current,2024-03-01 03:44:25,2024-03-01 03:44:25,Shop Pay Top-Up,50.00,0.00,EUR,COMPLETED,220.56
CARD_PAYMENT,Current,2024-03-01 03:45:35,2024-03-01 03:45:35,itch.io,-185.48,0.00,EUR,COMPLETED,35.08
CARD_PAYMENT,Current,2024-03-01 21:17:45,2024-03-01 21:17:45,Discord,-9.99,0.00,EUR,COMPLETED,25.09
CARD_PAYMENT,Current,2024-03-09 23:16:34,2024-03-10 23:16:34,Online,-13.18,0.13,EUR,COMPLETED,11.82
TOPUP,Current,2024-03-23 23:36:34,2024-03-23 23:36:34,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,27.18
CARD_PAYMENT,Current,2024-03-30 15:52:13,2024-03-31 15:52:13,Shop,-13.27,0.00,EUR,COMPLETED,13.91
CARD_PAYMENT,Current,2024-03-30 17:25:55,2024-03-31 17:25:55,Shop,-0.60,0.00,EUR,COMPLETED,13.31
CARD_PAYMENT,Current,2024-03-30 17:26:25,2024-03-31 17:26:25,Shop,-20.00,0.00,EUR,COMPLETED,20.60
TOPUP,Current,2024-04-10 17:20:08,2024-04-10 17:20:08,Shop Pay Top-Up,20.00,0.00,EUR,COMPLETED,27.18
CARD_PAYMENT,Current,2024-04-10 17:26:25,2024-04-13 17:26:25,Groceries,-14.53,0.00,EUR,COMPLETED,6.07
CARD_PAYMENT,Current,2024-04-12 23:55:47,2024-04-13 15:57:40,Texts,-4.72,0.05,EUR,COMPLETED,1.30
